Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Series_Complete_Yes,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Additional_Doses,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen
04/24/2022,BP2,346830,16100,154120,176610,134543,13488,53620,67435,47649.0,29142.0,17842.0,643.0
04/24/2022,CA,89810155,3714200,32213180,53882775,28424824,2097583,9735463,16586650,14368269.0,6171693.0,7971608.0,224386.0
04/24/2022,AR,6159180,253500,2585520,3320160,1639754,112816,665511,860084,646894.0,314631.0,321823.0,9952.0
04/24/2022,VT,1788850,72200,698680,1017970,505562,47354,178324,279614,304114.0,130215.0,169381.0,4501.0
04/24/2022,NM,4437145,187300,1734100,2515745,1487500,109883,562321,812988,735863.0,308827.0,416044.0,10728.0
04/24/2022,ND,1379800,52900,531120,795780,418047,36549,145535,235949,168735.0,77543.0,88673.0,2511.0
04/24/2022,CT,8728425,344300,3365280,5018845,2818199,231003,951311,1635431,1452761.0,662302.0,772598.0,17837.0
04/24/2022,IL,27337145,1166400,9500140,16670605,8691336,624713,2815461,5241754,4431075.0,1800669.0,2574869.0,53775.0
04/24/2022,TN,12844430,513000,4910440,7420990,3716928,235836,1320433,2148181,1628194.0,689065.0,912761.0,22251.0
04/24/2022,US,723183845,30682200,268274380,424227265,219338297,16935566,76324110,125922868,100065793.0,43030411.0,55507415.0,1497225.0
04/24/2022,RI,2581625,89000,981800,1510825,872217,60529,291874,519367,465430.0,197679.0,262563.0,5126.0
04/24/2022,KS,6015315,256300,2310940,3448075,1785962,126307,636118,1022765,760057.0,328117.0,420905.0,10791.0
04/24/2022,AZ,14782820,608100,5638220,8536500,4474307,333098,1638168,2494934,1864722.0,817673.0,1021178.0,23989.0
04/24/2022,WY,972085,48100,429140,494845,298011,26793,119784,151292,128215.0,58968.0,67361.0,1834.0
04/24/2022,HI,3452280,124400,1290620,2037260,1106515,65235,364694,676570,563619.0,251497.0,305947.0,6173.0
04/24/2022,GA,21610795,830500,8425940,12354355,5796628,319796,2142626,3322116,2155143.0,961196.0,1167015.0,25195.0
04/24/2022,NV,5928810,259000,2031400,3638410,1869800,172475,604264,1092995,718897.0,294560.0,412073.0,12259.0
04/24/2022,FM,163400,12800,89940,60660,56195,12477,31662,12038,14075.0,12846.0,868.0,361.0
04/24/2022,LA,8203850,325100,3351180,4527570,2483512,180542,960738,1341100,976617.0,432821.0,530252.0,13460.0
04/24/2022,MN,12607330,503400,4483620,7620310,3895625,328128,1301858,2263931,2234959.0,892858.0,1312898.0,28810.0
04/24/2022,PW,44990,3800,29000,12190,18132,2354,12663,3065,11339.0,10466.0,873.0,0.0
04/24/2022,AS,117010,600,24100,92310,41354,581,9421,30819,21974.0,4571.0,17401.0,2.0
04/24/2022,MD,15780170,606200,5388160,9785810,4563339,326526,1518691,2713559,2309486.0,963803.0,1309207.0,35571.0
04/24/2022,MT,1969195,104800,809700,1054695,605556,54960,237101,312980,287687.0,135098.0,147123.0,5098.0
04/24/2022,CO,12429675,491100,4568840,7369735,4038652,312030,1436650,2287130,2086758.0,920677.0,1139265.0,26129.0
04/24/2022,DE,2343455,98800,906100,1338555,671335,57083,235277,378261,304179.0,130632.0,168345.0,5144.0
04/24/2022,IN,13377880,605800,4699800,8072280,3686964,281406,1253084,2143987,1686952.0,656699.0,1007305.0,21409.0
04/24/2022,MO,11567505,427200,4406060,6734245,3434888,237860,1167037,2029230,1451712.0,593933.0,840083.0,17620.0
04/24/2022,OR,10009685,462500,3768060,5779125,2932596,247162,1000958,1678773,1559354.0,661694.0,873047.0,23934.0
04/24/2022,MI,21141910,939900,8351120,11850890,5999089,420773,2174730,3402443,3245432.0,1445533.0,1751891.0,47869.0
04/24/2022,PA,30422625,1525100,11606060,17291465,8737640,723560,3125518,4887878,3708716.0,1623728.0,2024044.0,60867.0
04/24/2022,ID,3382090,157200,1320780,1904110,964612,81359,330143,552274,405432.0,177731.0,221339.0,6256.0
04/24/2022,OK,7279730,323100,3050080,3906550,2259969,143864,854617,1261131,844504.0,386777.0,445568.0,12026.0
04/24/2022,IH2,2922095,107100,1294480,1520515,869099,38554,393109,437430,271262.0,129612.0,139291.0,2240.0
04/24/2022,NY,45898755,1887800,16192600,27818355,14934973,1252535,4994695,8681420,6785620.0,2885237.0,3783603.0,116184.0
04/24/2022,DC,1873105,70800,666180,1136125,521555,39465,178171,303417,197516.0,83444.0,112531.0,1464.0
04/24/2022,IA,6586655,289900,2539720,3757035,1951515,163151,714984,1072970,1031659.0,469471.0,548050.0,14081.0
04/24/2022,WI,11573345,452300,4336900,6784145,3812498,300222,1335650,2175715,2135824.0,887071.0,1221404.0,27218.0
04/24/2022,NJ,21917955,963600,7875380,13078975,6705126,515399,2309710,3878452,3166434.0,1345794.0,1754397.0,66162.0
04/24/2022,PR,7457550,214500,2632520,4610530,2646417,139346,952299,1554656,1531002.0,607962.0,911654.0,11366.0
04/24/2022,MH,101680,12600,57000,32080,27002,2786,20254,3959,6750.0,6398.0,324.0,28.0
04/24/2022,NC,21940000,929000,8270060,12740940,6385683,484243,2209897,3691390,1686260.0,738735.0,918867.0,28630.0
04/24/2022,WA,17722795,757600,6432000,10533195,5518484,452295,1898067,3163846,2872602.0,1244763.0,1589056.0,37779.0
04/24/2022,AK,1529465,85000,592820,851645,455104,41711,160887,252377,195706.0,86661.0,106065.0,2950.0
04/24/2022,VA,19594285,781000,6955600,11857685,6235738,454483,2018335,3759164,2939048.0,1218502.0,1675496.0,44240.0
04/24/2022,AL,9645340,396900,4201560,5046880,2502265,165838,1030244,1305481,888037.0,437134.0,434969.0,15809.0
04/24/2022,DD2,6676310,210500,2189540,4276270,3170921,292220,979260,1899213,1848.0,593.0,1222.0,33.0
04/24/2022,VA2,8036420,626400,3912380,3497640,2945890,233592,1444438,1267848,1138960.0,602677.0,515133.0,21150.0
04/24/2022,SC,10465475,453000,4356440,5656035,2916106,207431,1039577,1668707,1142468.0,489489.0,630232.0,22240.0
04/24/2022,MP,125030,3600,25320,96110,43268,1158,5212,36897,20923.0,4147.0,16567.0,209.0
04/24/2022,SD,1868365,90800,745700,1031865,541894,39076,197872,304907,224973.0,101280.0,120795.0,2885.0
04/24/2022,VI,148360,2900,39540,105920,56658,2091,15698,38863,16770.0,5669.0,10957.0,142.0
04/24/2022,TX,61492635,2630600,22074680,36787355,17776554,1357844,6103210,10314421,6691302.0,2915799.0,3675394.0,99875.0
04/24/2022,NE,3952810,150200,1384280,2418330,1228118,88665,415671,722088,619928.0,243583.0,368977.0,6928.0
04/24/2022,FL,47906885,2374200,17731520,27801165,14361175,1359878,4871164,8089906,5749029.0,2467962.0,3168736.0,104847.0
04/24/2022,OH,23090255,983300,8678140,13428815,6816876,552195,2392013,3867206,3535650.0,1503914.0,1971462.0,59328.0
04/24/2022,ME,3384350,153600,1333520,1897230,1067096,131758,384232,550271,593905.0,271281.0,311174.0,10834.0
04/24/2022,NH,3482030,179400,1224740,2077890,952506,79011,342930,530460,416480.0,177967.0,230983.0,7513.0
04/24/2022,GU,320560,24100,85780,210680,139016,11101,40457,87352,60523.0,21801.0,37325.0,1397.0
04/24/2022,MA,16882710,617200,6407620,9857890,5430390,381260,1908847,3140075,2772159.0,1291735.0,1453492.0,26907.0
